Brand,Price,Color,Condition,GPU,Processor Speed,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
hp,172,silver,Used,intel,1.9,windows,hdd/ssd,256,256,14,8
dell,422,other,Good - Refurbished,intel,2.6,windows,ssd,0,256,11.6,16
lenovo,268,black,Very Good - Refurbished,nvidia,2.4,windows,ssd,0,512,15.6,16
lenovo,187.8,purple,Used,nvidia,2.9,windows,ssd,0,256,14.1,16
asus,289.5,black,Used,intel,3,windows,hdd/ssd,256,256,14,8
microsoft,130,silver,Used,other,2.4,windows,hdd/ssd,256,256,12.3,8
dell,400,black,Used,other,1.7,windows,hdd/ssd,512,512,15.6,16
hp,725,other,Open box,other,3.3,windows,ssd,0,256,16,16
lenovo,400,black,Excellent - Refurbished,intel,1.8,windows,hdd/ssd,1000,1000,14,24
hp,450,silver,Open box,amd,2.6,windows,ssd,0,256,14,16
dell,155,black,Used,intel,1.9,windows,ssd,0,256,14,16
dell,279,black,Used,other,2.6,windows,hdd/ssd,1000,1000,14,16
hp,329.5,other,Good - Refurbished,intel,2.8,windows,ssd,0,256,14,16
dell,260,silver,Used,other,2.7,windows,ssd,0,256,15.6,32
hp,40,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,300,silver,New,other,1.6,windows,hdd/ssd,128,128,13.3,4
lenovo,270,blue,Used,intel,3,chrome,ssd,0,256,13.3,8
lenovo,450,black,Very Good - Refurbished,nvidia,2.8,windows,ssd,0,512,15.6,16
dell,180,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,8
hp,87.1,black,For parts or not working,other,2.5,unknown,hdd,1000,0,15.6,8
hp,45,multicolor,Used,other,2.16,chrome,hdd/ssd,16,16,14,16
dell,599,black,New,intel,2.4,windows,hdd/ssd,1000,1000,15.6,16
asus,70,black,Used,intel,2.5,windows,hdd,750,0,15.6,6
hp,525,silver,Used,nvidia,2.6,windows,hdd/ssd,512,512,17.3,64
lenovo,44,gray,Used,other,1.1,chrome,hdd/ssd,32,32,11.6,4
lg,589,gray,Used,intel,2.9,windows,ssd,0,512,17,16
lenovo,350,blue,Certified - Refurbished,amd,2.1,windows,ssd,0,256,13.3,8
lenovo,51,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
hp,1149,black,New,nvidia,2.4,windows,hdd/ssd,1000,1000,16.1,16
dell,159.8,pink,Used,other,3,windows,hdd/ssd,256,256,14,16
lenovo,120.3,other,Good - Refurbished,intel,1.9,windows,hdd,500,0,12.5,8
dell,106.25,black,Used,other,2.3,unknown,hdd,500,0,14,8
lenovo,453.8,other,Used,intel,2.1,windows,hdd/ssd,128,128,14,8
dell,110,black,Used,other,2.3,windows,ssd,0,128,14,4
dell,299.8,other,Used,intel,2.4,windows,hdd,250,0,14,8
lenovo,200,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,8
lenovo,188.8,other,Used,intel,2.4,windows,hdd/ssd,256,256,14,8
dell,80,other,Used,other,1.9,windows,hdd/ssd,500,500,14,4
samsung,47,black,Used,intel,2.5,chrome,hdd/ssd,16,16,11.6,4
lenovo,100,black,Used,intel,2.5,windows,hdd,500,0,15.6,4
dell,450,other,Used,other,1.6,chrome,hdd/ssd,32,32,11,4
microsoft,175,silver,Used,intel,1.2,unknown,hdd/ssd,128,128,13.5,8
dell,140,black,Used,intel,1.6,windows,hdd,500,0,14,16
dell,335,black,Excellent - Refurbished,intel,1.9,windows,hdd/ssd,512,512,14,32
